id,Spruce,Silver Fir,Douglas Fir,Pine,Oak,Beech,Sycamore
329417.0,0,0,0,0,0,1,0
349587.0,0,0,0,0,0,1,1
366321.0,0,1,0,0,0,0,0
8901.0,1,0,1,0,0,0,0
66441.0,0,0,0,0,0,1,0
355588.0,1,1,0,0,0,0,0
360553.0,1,0,1,0,0,0,0
130972.0,1,0,0,1,0,0,0
142126.0,1,1,0,0,0,0,0
110477.0,0,0,1,0,0,0,0
280348.0,0,1,0,0,0,1,0
347726.0,1,0,1,0,0,0,0
365066.0,0,0,0,0,0,1,1
27931.0,1,1,0,0,0,0,0
285554.0,1,1,0,0,0,0,0
178285.0,1,1,0,0,0,0,0
88569.0,1,0,0,0,0,0,0
174419.0,0,0,1,0,0,0,0
417506.0,1,0,0,0,0,0,0
142394.0,0,0,1,0,0,0,0
225413.0,0,0,0,1,0,0,0
229988.0,1,0,0,0,0,1,0
337566.0,1,1,0,0,0,0,0
60551.0,1,1,0,0,0,1,0
397047.0,0,0,0,0,0,1,0
315046.0,1,0,0,0,0,1,0
98393.0,1,1,0,0,0,0,0
133843.0,0,1,0,0,0,1,0
311129.0,0,1,0,0,0,0,0
268368.0,0,1,0,0,0,1,0
919.0,1,1,0,0,0,0,0
403647.0,1,1,0,0,0,0,0
186788.0,0,0,0,1,0,0,0
399418.0,1,1,0,0,0,0,0
208813.0,1,1,0,0,0,1,0
171736.0,1,0,0,1,0,0,0
261406.0,1,0,0,0,0,0,0
315497.0,1,0,1,0,0,0,0
274298.0,0,1,0,0,0,1,0
218499.0,0,1,0,1,0,0,0
207379.0,1,1,0,0,0,0,0
185977.0,0,0,0,0,1,0,0
91570.0,1,0,0,0,0,0,0
144702.0,0,0,0,0,0,1,0
278709.0,0,1,0,0,0,1,0
107936.0,1,0,0,0,0,1,0
262409.0,1,0,0,0,0,1,0
85392.0,0,0,0,0,1,1,0
354936.0,1,1,0,0,0,0,0
318616.0,1,0,0,0,0,0,0
164313.0,1,1,0,0,0,0,0
130603.0,0,0,1,0,0,1,0
331229.0,0,0,1,1,0,0,0
302442.0,0,1,0,0,0,0,0
335090.0,0,1,0,1,0,0,0
158594.0,0,1,0,0,0,0,0
149040.0,1,0,0,1,0,0,0
130232.0,0,1,0,0,0,1,0
25951.0,1,0,1,0,0,0,0
328761.0,0,1,0,0,0,0,0
417068.0,0,0,1,0,0,0,0
218874.0,0,1,0,0,0,0,0
231410.0,1,1,0,0,0,0,0
349297.0,1,0,0,0,0,1,0
326938.0,0,0,0,0,0,1,0
224442.0,1,0,0,0,0,0,0
235441.0,1,1,0,0,0,0,0
370310.0,1,1,0,0,0,0,0
182751.0,0,1,0,0,0,1,0
244891.0,1,0,0,1,0,0,0
42249.0,1,1,0,0,0,0,0
205317.0,1,0,0,0,0,0,0
366918.0,1,0,0,0,0,1,0
173738.0,1,1,0,0,0,1,0
416311.0,1,1,0,0,0,1,0
4429.0,0,0,0,1,0,1,0
242741.0,0,0,1,0,0,0,0
331643.0,0,0,1,0,0,0,0
194626.0,1,1,0,0,0,0,0
113035.0,1,0,0,0,0,1,0
14470.0,0,0,0,0,0,1,0
198669.0,0,0,0,0,1,1,0
235398.0,1,1,0,0,0,0,0
404021.0,1,0,0,0,0,1,0
279661.0,1,1,0,0,0,0,0
