id,Spruce,Sliver Fir,Douglas Fir,Pine,Oak,Beech,Sycamore
296866.0,0,0,0,0,0,1,0
168601.0,1,1,0,0,0,0,0
53544.0,1,0,1,0,0,0,0
218572.0,1,0,0,0,0,0,0
112294.0,1,0,0,0,0,0,0
358368.0,0,0,0,1,0,0,0
284303.0,0,0,0,0,0,1,0
166289.0,1,0,0,1,0,0,0
205377.0,0,1,0,0,0,1,0
114157.0,0,0,0,1,0,0,0
321308.0,0,0,0,0,0,1,0
381958.0,1,1,0,0,0,0,0
218675.0,1,0,0,0,0,0,0
207951.0,0,1,0,0,0,0,0
40196.0,0,1,0,0,0,0,0
70975.0,0,1,0,0,0,0,0
334610.0,1,0,0,1,0,0,0
375404.0,0,1,0,0,0,1,0
151654.0,0,0,0,1,0,0,0
395569.0,1,1,0,0,0,0,0
207046.0,1,0,0,0,0,0,0
353892.0,1,0,0,0,0,0,0
166313.0,1,0,0,0,0,0,0
118523.0,1,0,0,0,0,0,0
149419.0,0,0,0,0,0,1,0
273679.0,1,0,0,0,0,0,0
236126.0,1,1,0,0,0,0,0
287832.0,1,0,0,0,0,0,0
186691.0,1,0,0,0,0,0,0
391581.0,0,0,1,0,0,0,0
162402.0,0,0,0,0,0,1,0
223506.0,0,1,0,0,0,0,0
205796.0,0,1,0,0,0,1,0
118266.0,0,0,0,0,0,1,0
133189.0,0,0,1,0,0,1,0
340104.0,0,0,0,0,0,0,1
10156.0,0,0,1,0,0,0,0
211602.0,0,0,0,0,0,1,0
275330.0,1,0,0,0,0,0,0
393130.0,1,0,0,0,0,0,0
327168.0,1,0,0,0,0,0,0
312383.0,1,0,0,0,0,1,0
417107.0,0,0,0,0,0,0,0
263466.0,1,0,0,0,0,0,0
165997.0,1,0,0,0,0,0,0
332641.0,0,0,1,0,0,0,0
109669.0,1,0,1,0,0,0,0
328048.0,0,0,0,0,0,0,1
54801.0,0,0,0,0,1,1,0
357786.0,1,0,0,0,0,0,0
176769.0,1,0,0,0,0,0,0
406138.0,1,1,0,0,0,0,0
386845.0,1,0,0,1,0,0,0
247080.0,1,0,0,0,0,0,0
414315.0,0,0,0,1,0,0,0
170427.0,1,0,0,0,0,0,0
173164.0,1,0,0,0,0,0,0
115077.0,0,0,1,0,0,0,0
378763.0,1,0,0,0,0,0,0
150931.0,0,0,1,0,0,0,0
164217.0,0,1,0,0,0,0,0
221265.0,0,0,0,1,0,0,0
54334.0,1,1,0,0,0,0,0
173217.0,1,0,0,0,0,0,0
365446.0,0,0,0,0,1,0,0
223543.0,0,0,0,0,0,0,1
34399.0,1,0,0,0,0,0,0
362157.0,1,0,0,0,0,1,0
258096.0,1,0,0,0,0,0,0
158585.0,0,0,1,0,0,0,0
288539.0,1,0,0,0,0,1,0
79.0,0,0,1,0,0,0,0
312339.0,0,0,0,0,0,1,0
161289.0,0,1,1,0,0,0,0
281123.0,1,1,0,0,0,0,0
397485.0,1,0,0,0,0,0,0
319058.0,1,0,0,0,0,1,0
366523.0,1,0,0,0,0,1,0
328978.0,0,0,0,0,0,1,0
290667.0,0,0,0,0,1,1,0
84063.0,0,0,0,0,1,1,0
190993.0,0,0,0,0,0,1,0
43059.0,1,0,0,0,0,0,0
404589.0,1,0,0,0,0,0,0
214823.0,1,0,1,0,0,0,0
310318.0,1,0,0,0,0,0,0
47055.0,1,1,0,0,0,0,0
90295.0,1,0,0,0,0,0,0
243288.0,0,0,1,0,0,0,0
200644.0,1,0,0,0,0,0,0
11526.0,1,0,0,0,0,0,0
403623.0,1,1,0,1,0,0,0
92479.0,1,0,0,0,0,0,0
306540.0,0,1,0,0,0,0,0
15817.0,1,1,0,0,0,0,0
264249.0,1,0,0,0,0,0,0
373855.0,1,1,0,0,0,0,0
217281.0,0,1,0,0,0,0,0
155761.0,0,0,0,0,0,1,0
150153.0,0,0,0,0,0,1,0
283290.0,0,0,0,0,0,1,0
27589.0,1,0,0,0,0,1,0
107911.0,1,0,0,0,0,0,0
1201.0,0,0,0,0,0,1,0
122953.0,1,0,0,0,0,1,0
161425.0,1,1,0,1,0,0,0
266182.0,1,0,0,0,0,0,0
190248.0,1,0,0,0,0,0,0
386011.0,1,0,0,0,0,0,0
161519.0,1,0,0,1,0,0,0
397589.0,1,0,0,1,0,0,0
133997.0,1,0,0,0,0,0,0
381749.0,1,0,0,0,0,0,0
243142.0,1,1,0,0,0,0,0
111489.0,1,1,0,0,0,0,0
55342.0,1,0,0,0,0,0,0
368528.0,1,1,0,0,0,0,0
283723.0,0,0,0,0,0,1,0
303023.0,1,0,0,1,0,0,0
417550.0,1,0,0,0,0,0,0
358140.0,1,0,0,0,0,0,0
127605.0,1,0,0,0,0,0,0
271414.0,0,0,0,1,0,0,0
238642.0,0,0,0,0,1,0,0
276201.0,1,1,0,0,0,0,0
238683.0,1,0,0,0,0,0,0
88250.0,1,1,0,0,0,0,0
285689.0,1,0,0,1,0,0,0
68379.0,0,0,1,0,0,0,0
412925.0,1,0,0,0,0,0,0
45458.0,0,0,0,0,0,1,0
332018.0,0,0,0,0,0,0,1
141151.0,1,0,0,0,0,0,0
205249.0,1,0,0,0,0,0,0
276337.0,1,0,0,0,0,1,0
223673.0,1,1,0,0,0,0,0
355400.0,1,1,0,0,0,0,0
373616.0,1,0,0,0,0,0,0
39169.0,0,0,1,0,0,0,0
403455.0,1,0,0,0,0,0,0
165251.0,0,0,0,0,0,0,1
96437.0,1,0,0,0,0,0,0
90296.0,0,0,0,0,0,1,0
94687.0,1,0,0,0,0,1,0
132559.0,0,0,0,0,0,0,1
357249.0,1,1,0,0,0,0,0
151926.0,0,0,0,0,0,1,0
257336.0,1,0,0,0,0,0,0
77584.0,0,0,1,0,0,0,0
128084.0,1,0,0,0,0,0,0
218285.0,0,1,0,1,0,0,0
190483.0,1,1,0,0,0,0,0
71770.0,1,0,0,0,0,0,0
188396.0,1,0,0,0,0,0,0
130152.0,1,0,0,0,0,0,0
380787.0,1,0,0,0,0,0,0
279014.0,1,0,0,0,0,1,0
246315.0,0,1,0,0,0,1,0
15722.0,1,0,0,0,0,0,0
257091.0,1,0,1,0,0,0,0
90894.0,0,0,0,1,0,0,0
31514.0,0,1,0,0,0,0,0
123470.0,1,1,0,0,0,0,0
107777.0,0,0,1,0,0,0,0
313010.0,1,1,0,0,0,0,0
263128.0,1,0,0,0,0,0,0
346110.0,1,0,0,0,0,0,0
284888.0,0,0,0,0,0,1,0
358729.0,1,0,0,0,0,0,0
351887.0,0,0,0,0,0,1,0
141741.0,1,0,0,0,0,1,0
368743.0,0,0,0,0,0,1,0
377499.0,0,0,0,0,0,1,0
264120.0,1,1,0,0,0,0,0
36090.0,1,0,0,0,0,1,0
250259.0,0,0,1,0,0,0,0
157094.0,1,0,0,0,0,1,1
382220.0,1,0,0,0,0,0,0
387021.0,0,0,0,0,1,1,0
235391.0,1,0,0,0,0,0,0
313714.0,1,0,0,0,0,0,0
334108.0,0,1,0,0,0,0,0
265258.0,1,0,0,0,0,0,0
324801.0,1,0,0,0,0,0,0
151670.0,0,1,0,0,0,0,0
379987.0,1,0,0,0,0,0,0
332240.0,1,0,0,0,0,0,0
291668.0,0,1,0,0,0,0,0
216947.0,1,0,0,0,0,0,0
200301.0,0,0,0,1,0,1,0
275863.0,1,0,0,0,0,0,0
288526.0,0,0,0,0,0,0,0
193039.0,1,0,0,0,0,0,0
383892.0,1,0,0,0,1,0,0
270148.0,1,0,0,0,0,0,0
267949.0,1,1,0,0,0,1,0
389771.0,1,0,0,0,0,0,0
233686.0,1,0,0,0,0,0,0
15151.0,0,0,0,0,0,0,0
810.0,0,1,0,0,0,0,0
401033.0,0,0,0,0,0,1,0
81239.0,0,0,0,0,0,1,0
93754.0,1,0,0,0,0,0,0
16404.0,1,0,0,0,0,0,0
163167.0,1,1,0,0,0,0,0
375439.0,1,0,0,0,0,0,0
280884.0,0,0,1,0,0,0,0
141398.0,1,0,0,0,0,1,0
96251.0,0,0,0,0,0,1,0
368150.0,1,0,0,0,0,0,0
261036.0,1,0,0,0,0,1,0
121445.0,0,0,0,0,0,1,0
317034.0,1,0,0,0,0,1,0
338855.0,0,0,0,1,0,0,0
417627.0,1,1,0,0,0,0,0
391133.0,1,0,1,0,0,0,0
136144.0,0,0,0,0,0,1,0
275040.0,0,0,0,0,0,1,0
228572.0,1,1,0,0,0,0,0
402121.0,1,0,0,0,0,0,0
156880.0,0,1,1,0,0,0,0
196759.0,0,0,0,0,0,1,0
213313.0,1,0,0,0,0,1,0
384353.0,1,1,0,0,0,0,0
49177.0,1,0,1,0,0,0,0
154408.0,0,0,0,0,0,1,0
46806.0,1,0,0,0,0,1,0
92446.0,0,0,1,0,0,0,0
261585.0,1,0,0,0,0,0,0
329337.0,1,0,0,1,0,0,0
204264.0,1,0,0,0,0,0,0
332357.0,0,0,0,1,0,0,0
185433.0,1,0,0,1,0,0,0
121212.0,0,0,0,0,0,1,0
297226.0,1,1,0,0,0,0,0
291927.0,0,0,1,0,0,0,0
203439.0,1,0,0,0,0,0,0
310147.0,0,0,1,0,0,0,0
