id,Spruce,Silver Fir,Douglas Fir,Pine,Oak,Beech,Sycamore
2236.0,1,0,0,0,0,0,0
343238.0,1,0,0,0,0,1,0
276781.0,1,0,0,0,0,1,0
101780.0,0,0,1,0,0,0,0
263487.0,1,1,0,0,0,0,0
139613.0,1,1,0,0,0,0,0
139630.0,0,1,0,0,0,0,0
94187.0,1,0,0,0,0,1,0
303866.0,1,0,0,0,0,1,0
235482.0,1,1,0,0,0,0,0
241943.0,0,0,0,0,0,1,0
181793.0,1,0,0,0,0,0,1
189365.0,0,0,0,1,0,0,0
378889.0,1,1,0,0,0,0,0
125797.0,1,0,0,0,0,1,0
223125.0,0,0,0,0,0,0,1
396844.0,1,1,0,0,0,1,0
126789.0,0,0,1,0,0,0,0
374941.0,1,1,0,0,0,0,0
141576.0,1,1,0,0,0,1,0
61775.0,0,0,1,0,0,0,0
173311.0,1,0,0,0,0,0,0
237986.0,0,1,0,0,0,1,1
363195.0,1,1,0,0,0,0,0
319619.0,0,0,1,0,0,0,0
229857.0,1,0,0,0,0,0,0
219353.0,0,1,0,0,0,1,0
395220.0,0,1,0,0,1,0,0
47905.0,1,0,1,0,0,0,0
362918.0,1,1,0,0,0,0,0
184185.0,1,0,1,0,0,0,0
384588.0,1,0,1,0,0,0,0
371014.0,1,1,0,0,0,0,0
171560.0,0,0,0,0,1,0,0
264626.0,0,0,1,0,0,0,0
175773.0,0,0,0,0,0,1,1
390632.0,0,0,1,0,0,0,0
16942.0,0,0,1,0,0,0,0
243598.0,1,1,0,0,0,0,0
247321.0,0,1,0,0,0,0,1
161856.0,1,1,0,0,0,0,0
358047.0,0,0,1,0,0,0,0
32602.0,0,0,1,0,0,0,0
2211.0,0,0,1,0,0,0,0
229074.0,0,1,0,0,0,1,0
349156.0,1,0,0,0,0,1,0
32282.0,0,0,1,0,0,0,0
227089.0,0,0,0,0,0,1,0
276896.0,1,0,0,0,0,0,0
358929.0,1,0,0,0,0,1,0
116785.0,1,0,1,0,0,0,0
20266.0,0,0,0,0,0,1,0
178909.0,0,0,0,1,0,1,0
178902.0,0,1,0,0,0,1,0
367223.0,1,1,0,0,0,0,0
364544.0,0,1,0,1,0,0,0
379378.0,1,1,0,0,0,0,0
236215.0,1,1,0,0,0,0,0
104225.0,0,0,1,0,0,0,0
413325.0,0,0,0,0,1,1,0
94704.0,1,0,0,0,0,0,0
391596.0,0,0,0,1,0,0,0
279266.0,1,0,0,0,0,1,0
93348.0,1,0,1,0,0,0,0
283767.0,0,1,0,0,0,1,0
298229.0,0,1,0,1,0,0,0
30365.0,0,0,0,0,0,1,0
355215.0,1,1,0,0,0,0,0
293369.0,1,1,0,0,0,0,0
14004.0,1,0,0,0,0,0,1
192693.0,0,1,0,0,0,0,0
