id,Spruce_x,Sliver Fir_x,Douglas Fir_x,Pine_x,Oak_x,Beech_x,Sycamore_x,sum,Spruce_y,Sliver Fir_y,Douglas Fir_y,Pine_y,Oak_y,Beech_y,Sycamore_y,Others
119556.0,True,True,True,True,True,True,True,7,0.3,0.15,0.0,0.0,0.0,0.4,0.1,0.05
225271.0,True,True,True,True,True,True,True,7,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0
231856.0,True,True,True,True,True,True,True,7,0.8,0.05,0.0,0.0,0.0,0.15,0.0,0.0
182918.0,True,True,True,True,True,True,True,7,0.6,0.05,0.0,0.2,0.0,0.15,0.0,0.0
397449.0,True,True,True,True,True,True,True,7,0.4,0.5,0.0,0.0,0.0,0.05,0.05,0.0
341470.0,True,True,True,True,True,True,True,7,0.85,0.1,0.0,0.0,0.0,0.05,0.0,0.0
412250.0,True,True,True,True,True,True,True,7,0.3,0.55,0.0,0.0,0.0,0.15,0.0,0.0
77045.0,True,True,True,True,True,True,True,7,0.0,0.0,0.0,0.0,0.1,0.9,0.0,0.0
223162.0,True,True,True,True,True,True,True,7,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0
404709.0,True,True,True,True,True,True,True,7,0.15,0.05,0.0,0.8,0.0,0.0,0.0,0.0
190620.0,True,True,True,True,True,True,True,7,0.3,0.4,0.0,0.0,0.0,0.3,0.0,0.0
114898.0,True,True,True,True,True,True,True,7,0.3,0.05,0.0,0.65,0.0,0.0,0.0,0.0
262218.0,True,True,True,True,True,True,True,7,0.4,0.0,0.2,0.0,0.0,0.35,0.05,0.0
366986.0,True,True,True,True,True,True,True,7,0.45,0.25,0.0,0.2,0.0,0.1,0.0,0.0
160379.0,True,True,True,True,True,True,True,7,0.45,0.35,0.0,0.2,0.0,0.0,0.0,0.0
289948.0,True,True,True,True,True,True,True,7,0.95,0.05,0.0,0.0,0.0,0.0,0.0,0.0
232395.0,True,True,True,True,True,True,True,7,0.1,0.65,0.05,0.0,0.0,0.15,0.0,0.05
190002.0,True,True,True,True,True,True,True,7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
67034.0,True,True,True,True,True,True,True,7,0.35,0.0,0.6,0.0,0.0,0.05,0.0,0.0
227174.0,True,True,True,True,True,True,True,7,0.85,0.15,0.0,0.0,0.0,0.0,0.0,0.0
268902.0,True,True,True,True,True,True,True,7,0.35,0.0,0.0,0.15,0.05,0.35,0.0,0.1
313432.0,True,True,True,True,True,True,True,7,0.3,0.05,0.0,0.1,0.0,0.5,0.0,0.05
297251.0,True,True,True,True,True,True,True,7,0.25,0.0,0.0,0.0,0.1,0.5,0.0,0.15
224513.0,True,True,True,True,True,True,True,7,0.3,0.4,0.0,0.1,0.0,0.15,0.0,0.05
132174.0,True,True,True,True,True,True,True,7,0.05,0.45,0.0,0.45,0.0,0.05,0.0,0.0
359801.0,True,True,True,True,True,True,True,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44330.0,True,True,True,True,True,True,True,7,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0
174626.0,True,True,True,True,True,True,True,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
337395.0,True,True,True,True,True,True,True,7,0.35,0.6,0.0,0.0,0.0,0.05,0.0,0.0
344444.0,True,True,True,True,True,True,True,7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
294090.0,True,True,True,True,True,True,True,7,0.05,0.0,0.0,0.0,0.15,0.75,0.0,0.05
132260.0,True,True,True,True,True,True,True,7,0.05,0.0,0.0,0.0,0.0,0.95,0.0,0.0
264098.0,True,True,True,True,True,True,True,7,0.6,0.2,0.0,0.0,0.0,0.15,0.05,0.0
41936.0,True,True,True,True,True,True,True,7,0.2,0.25,0.0,0.05,0.0,0.5,0.0,0.0
405698.0,True,True,True,True,True,True,True,7,0.0,0.15,0.0,0.7,0.0,0.15,0.0,0.0
346469.0,True,True,True,True,True,True,True,7,0.8,0.0,0.0,0.0,0.0,0.2,0.0,0.0
203281.0,True,True,True,True,True,True,True,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176836.0,True,True,True,True,True,True,True,7,0.8,0.1,0.0,0.0,0.0,0.1,0.0,0.0
136023.0,True,True,True,True,True,True,True,7,0.25,0.05,0.0,0.0,0.0,0.5,0.2,0.0
368493.0,True,True,True,True,True,True,True,7,0.3,0.6,0.0,0.0,0.0,0.1,0.0,0.0
156566.0,True,True,True,True,True,True,True,7,0.55,0.0,0.0,0.15,0.0,0.3,0.0,0.0
338936.0,True,True,True,True,True,True,True,7,0.95,0.0,0.0,0.05,0.0,0.0,0.0,0.0
292929.0,True,True,True,True,True,True,True,7,0.1,0.0,0.0,0.0,0.0,0.3,0.5,0.1
321223.0,True,True,True,True,True,True,True,7,0.2,0.3,0.0,0.0,0.0,0.15,0.25,0.1
144041.0,True,True,True,True,True,True,True,7,0.05,0.0,0.0,0.8,0.05,0.1,0.0,0.0
89002.0,True,True,True,True,True,True,True,7,0.0,0.0,0.0,0.15,0.75,0.1,0.0,0.0
386251.0,True,True,True,True,True,True,True,7,0.95,0.0,0.0,0.0,0.0,0.05,0.0,0.0
257276.0,True,True,True,True,True,True,True,7,0.15,0.0,0.0,0.0,0.0,0.8,0.05,0.0
284098.0,True,True,True,True,True,True,True,7,0.1,0.0,0.4,0.0,0.0,0.35,0.1,0.05
303249.0,True,True,True,True,True,True,True,7,0.2,0.35,0.0,0.0,0.0,0.35,0.1,0.0
340815.0,True,True,True,True,True,True,True,7,0.0,0.0,0.0,0.05,0.5,0.45,0.0,0.0
176372.0,True,True,True,True,True,True,True,7,0.15,0.0,0.0,0.05,0.0,0.4,0.25,0.15
267028.0,True,True,True,True,True,True,True,7,0.3,0.2,0.0,0.0,0.0,0.2,0.2,0.1
317712.0,True,True,True,True,True,True,True,7,0.2,0.15,0.55,0.0,0.0,0.05,0.0,0.05
196712.0,True,True,True,True,True,True,True,7,0.4,0.0,0.5,0.0,0.0,0.1,0.0,0.0
67930.0,True,True,True,True,True,True,True,7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
248881.0,True,True,True,True,True,True,True,7,0.85,0.0,0.0,0.0,0.0,0.15,0.0,0.0
